line_1,line_2,line_3
headlong he leaped on the boaster and snatching his knife from its scabbard,plunged it into his heart and reeling backward the savage,fell with his face to the sky and a fiendlike fierceness upon it
bravely the stalwart miles standish was scouring the land with his forces,waxing valiant in fight and defeating the alien armies,till his name had become a sound of fear to the nations
wooden-barred was the door and the roof was covered with rushes,latticed the windows were and the window-panes were of paper,oiled to admit the light while wind and rain were excluded
hold this skein on your hands while i wind it ready for knitting,then who knows but hereafter when fashions have changed and the manners,fathers may talk to their sons of the good old times of john alden
lo,in the midst of this scene a breathless messenger entered,bringing in hurry and heat the terrible news from the village
friends were assembled together the elder and magistrate also,graced the scene with their presence and stood like the law and the gospel,one with the sanction of earth and one with the blessing of heaven
softly the youth and the maiden repeated the words of betrothal,taking each other for husband and wife in the magistrate's presence,after the puritan way and the laudable custom of holland
fervently then and devoutly the excellent elder of plymouth,prayed for the hearth and the home that were founded that day in affection,speaking of life and of death and imploring divine benedictions
lo,when the service was ended a form appeared on the threshold,clad in armor of steel a sombre and sorrowful figure
but when were ended the troth and the prayer and the last benediction,into the room it strode and the people beheld with amazement,bodily there in his armor miles standish the captain of plymouth
i have been angry and hurt too long have i cherished the feeling,i have been cruel and hard but now thank god,it is ended
then he said with a smile: i should have remembered the adage,if you would be well served you must serve yourself and moreover,no man can gather cherries in kent at the season of christmas
soon was their vision disturbed by the noise and stir of departure,friends coming forth from the house and impatient of longer delaying,each with his plan for the day and the work that was left uncompleted
somewhat alarmed at first but reassured by the others,placing her hand on the cushion her foot in the hand of her husband,gayly with joyous laugh priscilla mounted her palfrey
pleasantly murmured the brook as they crossed the ford in the forest,pleased with the image that passed like a dream of love through its bosom,tremulous floating in air o'er the depths of the azure abysses
those sounds that flow,in murmurs of delight and woe,come not from wings of birds
through the cloud-rack dark and trailing,must they see above them sailing,o'er life's barren crags the vulture
what,are these the guests whose glances,seemed like sunshine gleaming round me
these the wild bewildering fancies,that with dithyrambic dances,as with magic circles bound me
spectral gleam their snow-white dresses,and from loose dishevelled tresses,fall the hyacinthine blossoms
o my songs,whose winsome measures,filled my heart with secret rapture
for thou makest each mystery clearer,and the unattained seems nearer,when thou fillest my heart with fever
was she a lady of high degree,so much in love with the vanity,and foolish pomp of this world of ours
or was it christian charity,and lowliness and humility,the richest and rarest of all dowers
ah you will then have other cares,in your own short-comings and despairs,in your own secret sins and terrors
